unique_reference_number,authority_code,establishment_type_code,pupil_number,pupil_boys,pupil_girls,gender_type,gender_category,religious_type,religious_classification,percent_pupil_boys,percent_pupil_girls,percent_ehc_plan,percent_sen_support,percent_english_language,percent_not_english_language,percent_free_school_meals,rating
134780,303,2,412,208,204,3,Mixed,1,Church of England,50,49,1,8,76,23,7,Good
134781,943,10,12,12,0,1,Boys,2,Not applicable,100,0,100,0,0,0,0,Outstanding
134783,886,12,410,276,134,3,Mixed,2,Not applicable,67,32,95,4,96,3,43,Outstanding
134784,353,1,426,216,210,3,Mixed,2,Not applicable,50,49,2,15,90,9,33,Good
134785,343,1,255,128,127,3,Mixed,2,Not applicable,50,49,5,39,88,11,75,Good
134789,942,2,286,141,145,3,Mixed,1,Church of England,49,50,3,7,99,0,7,Good
134791,938,1,548,266,282,3,Mixed,2,Not applicable,48,51,1,14,91,8,15,Good
134798,302,28,1736,991,745,3,Mixed,2,Not applicable,57,42,2,10,38,61,44,Good
134805,821,11,98,98,0,1,Boys,2,Not applicable,100,0,0,0,0,0,0,Good
134809,856,11,296,105,191,3,Mixed,3,Other religion,35,64,0,1,0,0,0,Good
134810,211,11,159,159,0,1,Boys,2,Not applicable,100,0,0,0,0,0,0,Good
134813,393,7,46,40,6,3,Mixed,2,Not applicable,87,13,100,0,100,0,80,Good
134814,941,28,1721,890,831,3,Mixed,3,Other religion,51,48,1,13,67,32,27,Outstanding
134815,208,28,754,416,338,3,Mixed,3,Other religion,55,44,4,13,41,57,51,Good
134833,936,10,102,61,41,3,Mixed,2,Not applicable,59,40,100,0,0,0,0,Good
134840,330,1,848,392,456,3,Mixed,2,Not applicable,46,53,1,28,10,89,53,Good
134841,892,1,372,192,180,3,Mixed,2,Not applicable,51,48,0,7,82,18,53,Good
134842,892,1,235,107,128,3,Mixed,2,Not applicable,45,54,0,20,62,37,46,Good
134844,850,15,100,59,41,3,Mixed,2,Not applicable,59,41,0,38,90,10,0,Outstanding
134845,357,1,442,209,233,3,Mixed,2,Not applicable,47,52,1,33,90,9,43,Good
134852,894,1,465,243,222,3,Mixed,2,Not applicable,52,47,1,12,56,43,48,Good
134853,808,1,447,229,218,3,Mixed,2,Not applicable,51,48,1,19,78,21,55,Outstanding
134855,840,1,231,120,111,3,Mixed,2,Not applicable,51,48,0,12,98,1,49,Outstanding
134857,886,1,420,241,179,3,Mixed,2,Not applicable,57,42,1,7,87,12,44,Good
134860,882,5,465,237,228,3,Mixed,2,Not applicable,51,49,1,10,82,17,35,Good
134865,342,7,223,159,64,3,Mixed,2,Not applicable,71,28,100,0,98,1,48,Good
134867,813,1,307,160,147,3,Mixed,2,Not applicable,52,47,2,15,96,3,43,Good
134883,356,1,409,231,178,3,Mixed,2,Not applicable,56,43,6,9,94,5,9,Requires improvement
134884,383,7,245,164,81,3,Mixed,2,Not applicable,66,33,99,0,92,7,51,Good
134888,342,8,64,52,12,3,Mixed,2,Not applicable,81,18,100,0,90,9,38,Good
134889,892,8,54,49,5,3,Mixed,2,Not applicable,90,9,100,0,88,11,41,Good
134894,873,2,417,198,219,3,Mixed,1,Church of England,47,52,1,12,55,44,17,Good
134896,938,1,460,236,224,3,Mixed,2,Not applicable,51,48,4,26,97,2,26,Good
134897,896,1,203,99,104,3,Mixed,2,Not applicable,48,51,3,31,91,8,46,Good
134902,936,8,41,20,21,3,Mixed,2,Not applicable,48,51,87,12,85,14,35,Outstanding
134903,210,1,275,144,131,3,Mixed,2,Not applicable,52,47,10,26,49,50,60,Good
134904,887,1,668,340,328,3,Mixed,2,Not applicable,50,49,1,7,96,3,7,Good
134909,933,10,33,21,12,3,Mixed,2,Not applicable,63,36,100,0,0,0,0,Good
134913,383,3,224,114,110,3,Mixed,1,Church of England,50,49,1,20,99,0,15,Good
134917,800,1,265,131,134,3,Mixed,2,Not applicable,49,50,5,21,92,7,33,Good
134924,937,1,256,116,140,3,Mixed,2,Not applicable,45,54,2,13,98,2,25,Requires improvement
134929,310,2,338,164,174,3,Mixed,1,Church of England,48,51,0,12,52,47,28,Good
134937,873,7,179,120,59,3,Mixed,2,Not applicable,67,33,100,0,83,16,40,Good
134938,857,10,101,92,9,3,Mixed,2,Not applicable,91,8,100,0,0,0,0,Outstanding
134940,882,10,8,8,0,1,Boys,2,Not applicable,100,0,25,25,0,0,0,Good
134945,850,1,331,172,159,3,Mixed,2,Not applicable,52,48,1,12,91,8,18,Good
134958,926,1,460,234,226,3,Mixed,2,Not applicable,50,49,3,19,69,30,45,Outstanding
134960,926,1,688,349,339,3,Mixed,2,Not applicable,50,49,3,15,68,30,44,Good
134964,926,1,350,179,171,3,Mixed,2,Not applicable,51,48,1,15,78,21,10,Outstanding
134965,926,5,439,224,215,3,Mixed,2,Not applicable,51,49,1,23,67,32,41,Requires improvement
134967,890,1,391,211,180,3,Mixed,2,Not applicable,54,46,3,17,96,3,34,Good
134971,886,12,219,163,56,3,Mixed,2,Not applicable,74,25,100,0,99,0,36,Outstanding
134972,873,7,219,146,73,3,Mixed,2,Not applicable,66,33,100,0,82,17,43,Good
134973,383,1,426,208,218,3,Mixed,2,Not applicable,48,51,0,13,88,11,24,Good
134977,865,2,121,72,49,3,Mixed,1,Church of England,59,40,0,12,100,0,13,Good
134978,926,10,7,6,1,3,Mixed,2,Not applicable,85,14,100,0,0,0,0,Good
134979,873,1,172,90,82,3,Mixed,2,Not applicable,52,47,6,27,66,33,35,Good
134982,330,10,30,25,5,3,Mixed,2,Not applicable,83,16,100,0,0,0,0,Good
134987,839,5,652,325,327,3,Mixed,1,Church of England,49,50,2,8,97,2,7,Good
134988,343,2,239,115,124,3,Mixed,1,Church of England,48,51,2,10,99,0,7,Good
134989,888,1,1064,553,511,3,Mixed,2,Not applicable,52,48,2,10,71,28,30,Good
134991,888,15,58,33,25,3,Mixed,2,Not applicable,56,43,0,20,77,22,0,Outstanding
134993,333,28,1325,725,600,3,Mixed,2,Not applicable,54,45,1,8,56,43,26,Outstanding
134996,888,5,1125,622,503,3,Mixed,2,Not applicable,55,44,1,18,28,71,33,Good
134999,894,1,450,235,215,3,Mixed,2,Not applicable,52,47,2,10,80,19,22,Good
135001,392,10,47,36,11,3,Mixed,2,Not applicable,76,23,100,0,0,0,0,Good
135003,888,5,1380,686,694,3,Mixed,2,Not applicable,49,50,1,20,91,8,36,Good
135004,312,28,306,164,142,3,Mixed,2,Not applicable,53,46,3,23,84,15,40,Good
135007,371,28,1254,596,658,3,Mixed,3,Other religion,47,52,1,12,90,10,36,Requires improvement
135009,936,3,385,206,179,3,Mixed,1,Church of England,53,46,4,20,80,19,39,Good
135012,888,7,126,86,40,3,Mixed,2,Not applicable,68,31,100,0,84,15,42,Outstanding
135013,888,7,182,126,56,3,Mixed,2,Not applicable,69,30,99,0,70,29,59,Good
135014,888,7,113,83,30,3,Mixed,2,Not applicable,73,26,100,0,77,23,35,Outstanding
135015,888,7,162,112,50,3,Mixed,2,Not applicable,69,30,100,0,65,34,49,Outstanding
135016,335,1,256,126,130,3,Mixed,2,Not applicable,49,50,2,14,91,9,58,Good
135017,354,1,530,281,249,3,Mixed,2,Not applicable,53,47,3,16,84,16,48,Good
135018,886,10,34,21,13,3,Mixed,2,Not applicable,61,38,100,0,0,0,0,Good
135019,896,1,486,256,230,3,Mixed,2,Not applicable,52,47,4,12,97,2,14,Outstanding
136156,850,28,567,312,255,3,Mixed,2,Not applicable,55,45,5,27,96,3,57,Good
135021,823,1,489,231,258,3,Mixed,2,Not applicable,47,52,1,7,97,2,4,Outstanding
135027,352,10,20,15,5,3,Mixed,2,Not applicable,75,25,100,0,0,0,0,Good
135029,333,1,448,214,234,3,Mixed,2,Not applicable,47,52,1,7,51,48,42,Good
135030,382,1,628,331,297,3,Mixed,2,Not applicable,52,47,2,9,97,2,10,Good
135031,894,1,439,211,228,3,Mixed,2,Not applicable,48,51,1,27,87,12,53,Good
135035,885,5,973,491,482,3,Mixed,2,Not applicable,50,49,3,18,98,1,19,Good
135036,885,3,246,141,105,3,Mixed,1,Church of England,57,42,2,13,98,1,16,Requires improvement
135046,885,2,253,123,130,3,Mixed,2,Not applicable,48,51,3,15,97,2,12,Good
135047,885,1,427,217,210,3,Mixed,2,Not applicable,50,49,1,21,94,5,27,Good
135048,885,3,221,106,115,3,Mixed,2,Not applicable,48,52,0,22,99,0,18,Requires improvement
135050,885,1,866,425,441,3,Mixed,2,Not applicable,49,50,0,16,97,2,24,Good
135051,885,3,417,217,200,3,Mixed,1,Church of England,52,48,1,10,99,1,12,Good
135052,885,1,327,172,155,3,Mixed,2,Not applicable,52,47,1,15,92,7,28,Good
135057,885,2,208,107,101,3,Mixed,1,Church of England,51,48,5,19,80,19,62,Requires improvement
135061,885,3,920,442,478,3,Mixed,1,Church of England,48,52,3,12,97,2,24,Good
135063,941,2,204,107,97,3,Mixed,1,Church of England,52,47,0,4,97,2,5,Outstanding
135064,929,3,29,14,15,3,Mixed,1,Church of England,48,51,0,20,100,0,38,Requires improvement
135065,813,11,30,23,7,3,Mixed,2,Not applicable,76,23,80,20,0,0,0,Requires improvement
135066,926,10,111,94,17,3,Mixed,2,Not applicable,84,15,100,0,0,0,0,Good
135070,209,28,1254,738,516,3,Mixed,2,Not applicable,58,41,1,19,78,21,48,Good
135071,355,28,892,459,433,3,Mixed,3,Other religion,51,48,1,14,79,20,48,Good
135072,302,11,40,0,40,3,Mixed,2,Not applicable,0,100,40,60,0,0,0,Outstanding
135073,209,28,1376,679,697,3,Mixed,2,Not applicable,49,50,2,12,84,15,32,Good
135076,885,1,473,245,228,3,Mixed,2,Not applicable,51,48,0,18,91,7,20,Good
135077,811,1,202,115,87,3,Mixed,2,Not applicable,56,43,2,8,99,1,11,Good
135078,811,1,328,171,157,3,Mixed,2,Not applicable,52,47,1,11,96,4,14,Good
135079,869,1,468,255,213,3,Mixed,2,Not applicable,54,45,5,7,66,32,12,Good
135080,869,3,411,208,203,3,Mixed,1,Church of England,50,49,2,10,89,10,18,Good
135081,335,1,459,250,209,3,Mixed,2,Not applicable,54,45,2,15,77,22,40,Good
135083,919,1,227,107,120,3,Mixed,2,Not applicable,47,52,3,18,80,19,32,Requires improvement
135084,919,1,226,130,96,3,Mixed,2,Not applicable,57,42,0,10,91,8,22,Good
135085,343,2,236,106,130,3,Mixed,4,Roman Catholic,44,55,1,21,98,1,22,Good
135086,302,2,421,228,193,3,Mixed,3,Other religion,54,45,2,4,84,15,1,Good
135088,841,1,543,272,271,3,Mixed,2,Not applicable,50,49,0,12,95,4,30,Requires improvement
135090,313,11,80,40,40,3,Mixed,2,Not applicable,50,50,2,2,0,0,0,Good
135092,888,10,74,53,21,3,Mixed,2,Not applicable,71,28,100,0,0,0,0,Good
135099,871,2,617,290,327,3,Mixed,3,Other religion,47,53,3,13,28,71,18,Outstanding
135105,850,10,39,31,8,3,Mixed,2,Not applicable,79,20,100,0,0,0,0,Good
135106,886,1,417,225,192,3,Mixed,2,Not applicable,54,46,2,9,89,9,17,Good
135107,826,5,387,202,185,3,Mixed,2,Not applicable,52,47,1,9,86,13,18,Good
135108,892,15,100,49,51,3,Mixed,2,Not applicable,49,51,0,16,59,41,0,Outstanding
135111,938,10,19,15,4,3,Mixed,2,Not applicable,78,21,100,0,0,0,0,Requires improvement
135115,811,1,416,212,204,3,Mixed,2,Not applicable,51,49,0,12,96,3,9,Good
135118,886,1,609,320,289,3,Mixed,2,Not applicable,52,47,3,20,92,7,18,Good
135120,831,28,1198,629,569,3,Mixed,2,Not applicable,52,47,4,8,82,17,30,Outstanding
135125,886,1,460,238,222,3,Mixed,2,Not applicable,51,48,4,18,84,15,53,Good
135126,808,1,367,193,174,3,Mixed,2,Not applicable,52,47,1,23,95,4,49,Good
135130,886,5,619,327,292,3,Mixed,2,Not applicable,52,47,8,11,94,5,24,Good
135131,873,1,600,298,302,3,Mixed,2,Not applicable,49,50,2,12,89,10,25,Good
135132,873,1,420,190,230,3,Mixed,2,Not applicable,45,54,2,12,82,16,16,Good
135136,896,1,513,268,245,3,Mixed,2,Not applicable,52,47,3,6,92,8,13,Good
135139,334,1,485,237,248,3,Mixed,2,Not applicable,48,51,1,22,94,5,65,Requires improvement
135148,926,1,590,311,279,3,Mixed,2,Not applicable,52,47,3,14,77,22,12,Good
135149,894,28,1219,619,600,3,Mixed,2,Not applicable,50,49,1,12,84,15,35,Good
135155,307,11,87,0,87,2,Girls,2,Not applicable,0,100,0,0,0,0,0,Good
135164,886,2,138,79,59,3,Mixed,1,Church of England,57,42,2,17,86,13,32,Requires improvement
135167,202,10,12,11,1,3,Mixed,2,Not applicable,91,8,100,0,0,0,0,Good
135168,355,11,121,121,0,1,Boys,2,Not applicable,100,0,0,0,0,0,0,Requires improvement
135170,333,28,1557,855,702,3,Mixed,2,Not applicable,54,45,1,8,53,46,42,Outstanding
135174,341,28,1054,6,1048,2,Girls,2,Not applicable,0,99,0,17,79,20,27,Outstanding
135175,205,8,53,30,23,3,Mixed,2,Not applicable,56,43,100,0,62,37,52,Good
135176,812,28,618,342,276,3,Mixed,2,Not applicable,55,44,2,21,93,6,36,Good
135177,865,5,301,157,144,3,Mixed,2,Not applicable,52,47,4,24,90,9,8,Good
135180,938,10,16,12,4,3,Mixed,2,Not applicable,75,25,100,0,0,0,0,Good
135185,855,11,44,23,21,3,Mixed,2,Not applicable,52,47,13,15,0,0,0,Requires improvement
135187,830,10,10,4,6,3,Mixed,2,Not applicable,40,60,30,70,0,0,0,Good
135193,320,2,365,193,172,3,Mixed,4,Roman Catholic,52,47,5,11,59,40,40,Good
135197,886,1,390,206,184,3,Mixed,2,Not applicable,52,47,3,16,96,3,46,Outstanding
135198,886,10,6,6,0,3,Mixed,2,Not applicable,100,0,83,16,0,0,0,Good
135199,359,7,87,78,9,3,Mixed,2,Not applicable,89,10,100,0,100,0,73,Good
135200,354,7,120,91,29,3,Mixed,2,Not applicable,75,24,98,1,62,37,42,Good
135201,354,7,121,90,31,3,Mixed,2,Not applicable,74,25,99,0,82,17,46,Good
135202,354,7,326,239,87,3,Mixed,2,Not applicable,73,26,99,0,72,27,54,Good
135203,801,1,603,316,287,3,Mixed,2,Not applicable,52,47,0,18,85,14,23,Good
135208,330,10,45,39,6,3,Mixed,2,Not applicable,86,13,100,0,0,0,0,Good
135209,812,28,895,494,401,3,Mixed,2,Not applicable,55,44,3,14,96,3,48,Good
135210,383,3,703,373,330,3,Mixed,1,Church of England,53,46,0,14,57,42,30,Good
135211,310,1,432,220,212,3,Mixed,2,Not applicable,50,49,4,10,39,60,34,Good
135212,886,5,769,406,363,3,Mixed,2,Not applicable,52,47,6,13,90,9,44,Good
135213,869,1,403,213,190,3,Mixed,2,Not applicable,52,47,2,21,83,16,28,Good
135214,886,1,703,370,333,3,Mixed,2,Not applicable,52,47,3,23,94,5,44,Outstanding
135215,333,1,633,333,300,3,Mixed,2,Not applicable,52,47,1,12,64,34,46,Good
135216,384,10,101,80,21,3,Mixed,2,Not applicable,79,20,100,0,0,0,0,Good
135217,855,10,73,58,15,3,Mixed,2,Not applicable,79,20,100,0,0,0,0,Good
135219,888,11,108,47,61,3,Mixed,2,Not applicable,43,56,0,0,0,0,0,Good
135221,919,1,220,111,109,3,Mixed,2,Not applicable,50,49,1,29,72,27,26,Requires improvement
135222,919,1,361,186,175,3,Mixed,2,Not applicable,51,48,2,15,70,29,43,Good
135223,919,1,430,223,207,3,Mixed,2,Not applicable,51,48,3,9,58,41,31,Good
135224,919,1,433,227,206,3,Mixed,2,Not applicable,52,47,2,22,80,19,29,Good
135226,302,1,673,326,347,3,Mixed,2,Not applicable,48,51,2,13,53,46,27,Good
135228,380,7,230,159,71,3,Mixed,2,Not applicable,69,30,100,0,76,23,39,Good
135232,305,7,332,241,91,3,Mixed,2,Not applicable,72,27,100,0,87,12,41,Outstanding
135234,333,28,1416,722,694,3,Mixed,2,Not applicable,51,49,1,10,49,50,35,Good
135237,936,1,398,194,204,3,Mixed,2,Not applicable,48,51,6,18,83,16,29,Good
135240,850,10,35,29,6,3,Mixed,2,Not applicable,82,17,100,0,0,0,0,Good
135241,830,10,4,0,4,2,Girls,2,Not applicable,0,100,25,75,0,0,0,Good
135242,213,28,1303,663,640,3,Mixed,2,Not applicable,50,49,2,14,30,69,57,Outstanding
135244,894,1,212,126,86,3,Mixed,2,Not applicable,59,40,0,25,98,1,22,Good
135246,896,2,367,191,176,3,Mixed,4,Roman Catholic,52,48,1,16,91,9,20,Good
135247,813,10,91,84,7,3,Mixed,2,Not applicable,92,7,100,0,0,0,0,Requires improvement
135249,306,28,2155,1181,974,3,Mixed,2,Not applicable,54,45,0,16,68,31,45,Good
135252,935,10,24,24,0,1,Boys,2,Not applicable,100,0,100,0,0,0,0,Good
135258,353,1,664,340,324,3,Mixed,2,Not applicable,51,48,1,11,9,90,32,Outstanding
135259,860,10,14,10,4,3,Mixed,2,Not applicable,71,28,100,0,0,0,0,Good
135261,313,2,399,197,202,3,Mixed,4,Roman Catholic,49,50,1,7,15,84,15,Good
135262,356,28,988,497,491,3,Mixed,3,Other religion,50,49,2,20,83,16,40,Good
135263,874,28,2406,1178,1228,3,Mixed,2,Not applicable,49,51,1,6,57,41,35,Good
135264,209,28,1052,596,456,3,Mixed,4,Roman Catholic,56,43,1,13,69,30,42,Good
135265,931,1,422,209,213,3,Mixed,2,Not applicable,49,50,2,14,83,16,13,Good
135266,916,3,212,111,101,3,Mixed,1,Church of England,52,47,4,13,97,2,12,Good
135267,341,3,439,216,223,3,Mixed,1,Church of England,49,50,2,28,78,21,60,Good
135270,826,1,595,298,297,3,Mixed,2,Not applicable,50,49,1,9,77,22,19,Good
135271,826,1,1290,658,632,3,Mixed,2,Not applicable,51,49,1,10,49,50,9,Outstanding
135277,212,11,242,125,117,3,Mixed,2,Not applicable,51,48,0,3,0,0,0,Outstanding
135279,352,1,407,230,177,3,Mixed,2,Not applicable,56,43,2,17,61,38,59,Good
135281,860,1,350,179,171,3,Mixed,2,Not applicable,51,48,2,13,73,26,41,Good
135283,940,1,241,127,114,3,Mixed,2,Not applicable,52,47,3,9,83,17,18,Good
135286,391,5,450,222,228,3,Mixed,2,Not applicable,49,50,0,4,94,5,2,Good
135287,373,7,212,129,83,3,Mixed,2,Not applicable,60,39,100,0,70,28,60,Outstanding
135288,333,1,468,242,226,3,Mixed,2,Not applicable,51,48,4,12,18,81,32,Good
135290,886,28,1064,533,531,3,Mixed,2,Not applicable,50,49,4,20,97,2,33,Good
135292,815,10,4,0,4,2,Girls,2,Not applicable,0,100,25,25,0,0,0,Good
135294,812,28,1038,545,493,3,Mixed,2,Not applicable,52,47,1,16,86,13,52,Good
135295,803,28,1247,655,592,3,Mixed,2,Not applicable,52,47,1,16,76,23,28,Good
135296,352,28,1595,909,686,3,Mixed,3,Other religion,57,43,3,11,38,61,37,Good
135297,886,28,1359,768,591,3,Mixed,2,Not applicable,56,43,2,13,82,17,25,Good
135300,801,28,1331,703,628,3,Mixed,2,Not applicable,52,47,3,16,80,19,36,Good
135305,886,28,690,324,366,3,Mixed,2,Not applicable,47,53,5,11,90,9,41,Good
135306,940,28,1143,578,565,3,Mixed,2,Not applicable,50,49,9,11,73,26,21,Good
135307,355,2,356,188,168,3,Mixed,4,Roman Catholic,52,47,1,21,69,30,37,Good
135311,306,28,1271,733,538,3,Mixed,2,Not applicable,57,42,0,8,71,28,37,Outstanding
135313,354,28,781,374,407,3,Mixed,1,Church of England,47,52,2,16,83,15,48,Requires improvement
135314,841,28,551,262,289,3,Mixed,1,Church of England,47,52,2,11,90,10,45,Good
135315,210,28,1026,586,440,3,Mixed,2,Not applicable,57,42,2,15,39,60,59,Good
135316,212,28,1427,852,575,3,Mixed,2,Not applicable,59,40,3,13,49,49,30,Outstanding
135317,940,28,1186,619,567,3,Mixed,2,Not applicable,52,47,2,11,87,12,15,Good
135327,895,1,380,174,206,3,Mixed,2,Not applicable,45,54,2,3,98,1,7,Outstanding
135328,881,1,394,183,211,3,Mixed,2,Not applicable,46,53,1,11,90,9,17,Good
135335,331,28,894,449,445,3,Mixed,2,Not applicable,50,49,0,10,60,38,45,Requires improvement
135337,821,28,1575,776,799,3,Mixed,2,Not applicable,49,50,1,10,70,29,33,Good
135338,821,28,1443,702,741,3,Mixed,2,Not applicable,48,51,1,10,38,61,39,Requires improvement
135341,353,1,355,182,173,3,Mixed,2,Not applicable,51,48,2,11,91,9,37,Good
135345,831,7,115,94,21,3,Mixed,2,Not applicable,81,18,100,0,96,2,74,Good
135346,888,7,217,140,77,3,Mixed,2,Not applicable,64,35,98,1,84,15,41,Good
135347,888,7,88,56,32,3,Mixed,2,Not applicable,63,36,100,0,72,27,36,Good
135348,879,5,497,243,254,3,Mixed,2,Not applicable,48,51,1,18,91,8,53,Good
135353,916,1,409,190,219,3,Mixed,2,Not applicable,46,53,3,18,84,14,24,Good
135364,866,28,1883,941,942,3,Mixed,2,Not applicable,50,50,2,15,79,20,46,Good
135365,931,28,1001,503,498,3,Mixed,2,Not applicable,50,49,2,17,75,24,32,Good
135366,891,11,25,12,13,3,Mixed,2,Not applicable,48,52,8,0,0,0,0,Good
135367,380,28,1746,951,795,3,Mixed,1,Church of England,54,45,3,13,71,27,48,Requires improvement
135371,886,28,1337,761,576,3,Mixed,2,Not applicable,56,43,1,11,88,12,31,Good
135372,886,28,719,372,347,3,Mixed,2,Not applicable,51,48,3,12,86,14,47,Good
135373,304,10,36,27,9,3,Mixed,2,Not applicable,75,25,100,0,0,0,0,Good
135374,822,1,448,222,226,3,Mixed,2,Not applicable,49,50,1,10,82,17,18,Good
135380,873,10,6,6,0,1,Boys,2,Not applicable,100,0,100,0,0,0,0,Good
135389,208,28,464,249,215,3,Mixed,2,Not applicable,53,46,1,12,51,47,61,Requires improvement
135390,856,11,108,53,55,3,Mixed,2,Not applicable,49,50,0,0,0,0,0,Good
135393,891,10,27,21,6,3,Mixed,2,Not applicable,77,22,100,0,0,0,0,Requires improvement
135405,908,10,9,9,0,1,Boys,2,Not applicable,100,0,100,0,0,0,0,Good
135407,936,10,43,34,9,3,Mixed,2,Not applicable,79,20,100,0,0,0,0,Good
135410,942,10,54,54,0,1,Boys,2,Not applicable,100,0,94,1,0,0,0,Outstanding
135419,936,10,81,62,19,3,Mixed,2,Not applicable,76,23,100,0,0,0,0,Good
135422,330,11,6,6,0,3,Mixed,2,Not applicable,100,0,100,0,0,0,0,Inadequate
135423,391,28,1497,742,755,3,Mixed,2,Not applicable,49,50,2,21,49,50,68,Requires improvement
135424,805,10,15,11,4,3,Mixed,2,Not applicable,73,26,100,0,0,0,0,Good
135433,891,1,382,197,185,3,Mixed,2,Not applicable,51,48,1,15,99,0,18,Good
135437,916,1,82,47,35,3,Mixed,2,Not applicable,57,42,0,20,92,7,7,Good
135438,886,10,97,97,0,1,Boys,2,Not applicable,100,0,100,0,0,0,0,Good
135445,893,10,29,22,7,3,Mixed,2,Not applicable,75,24,100,0,0,0,0,Good
135449,333,28,1177,602,575,3,Mixed,3,Other religion,51,48,1,7,83,16,24,Good
135453,334,10,17,16,1,3,Mixed,2,Not applicable,94,5,100,0,0,0,0,Good
135457,888,7,145,126,19,3,Mixed,2,Not applicable,86,13,100,0,98,1,61,Outstanding
135458,891,1,295,156,139,3,Mixed,2,Not applicable,52,47,0,10,89,10,20,Good
135461,335,7,77,67,10,3,Mixed,2,Not applicable,87,13,100,0,100,0,71,Good
135479,340,2,1127,558,569,3,Mixed,4,Roman Catholic,49,50,2,17,94,6,51,Good
135482,307,2,423,219,204,3,Mixed,3,Other religion,51,48,0,9,8,92,25,Good
135483,335,11,103,103,0,1,Boys,2,Not applicable,100,0,0,2,0,0,0,Inadequate
135484,865,3,331,166,165,3,Mixed,1,Church of England,50,49,3,24,77,22,25,Good
135493,307,10,48,39,9,3,Mixed,2,Not applicable,81,18,100,0,0,0,0,Outstanding
135496,894,5,348,162,186,3,Mixed,2,Not applicable,46,53,1,16,83,17,21,Good
135497,344,1,242,135,107,3,Mixed,2,Not applicable,55,44,1,21,98,1,11,Good
135498,830,1,400,215,185,3,Mixed,2,Not applicable,53,46,1,22,97,2,49,Good
135505,896,2,223,111,112,3,Mixed,4,Roman Catholic,49,50,4,4,86,13,39,Good
135507,302,28,1626,840,786,3,Mixed,1,Church of England,51,48,2,7,67,32,15,Outstanding
135508,357,28,1292,570,722,3,Mixed,2,Not applicable,44,55,1,18,74,25,44,Requires improvement
135510,886,10,25,22,3,3,Mixed,2,Not applicable,88,12,96,4,0,0,0,Good
135511,893,10,26,18,8,3,Mixed,2,Not applicable,69,30,76,23,0,0,0,Good
135526,356,11,15,9,6,3,Mixed,2,Not applicable,60,40,80,20,0,0,0,Good
135528,919,1,390,207,183,3,Mixed,2,Not applicable,53,46,1,8,84,15,9,Good
135529,850,1,199,93,106,3,Mixed,2,Not applicable,46,53,3,17,92,8,53,Requires improvement
135530,855,10,63,58,5,3,Mixed,2,Not applicable,92,7,100,0,0,0,0,Requires improvement
135531,207,28,1182,647,535,3,Mixed,1,Church of England,54,45,2,10,70,29,43,Good
135534,309,8,100,85,15,3,Mixed,2,Not applicable,85,15,100,0,78,22,54,Outstanding
135541,888,10,68,57,11,3,Mixed,2,Not applicable,83,16,100,0,0,0,0,Good
135543,888,10,19,19,0,1,Boys,2,Not applicable,100,0,100,0,0,0,0,Good
135547,371,7,140,96,44,3,Mixed,2,Not applicable,68,31,100,0,95,5,39,Outstanding
135552,921,2,1108,533,575,3,Mixed,1,Church of England,48,51,2,14,92,7,27,Requires improvement
135555,942,10,14,0,1,3,Mixed,2,Not applicable,0,100,0,100,0,0,0,Requires improvement
135557,359,10,27,17,10,3,Mixed,2,Not applicable,63,37,96,3,0,0,0,Good
135561,330,11,82,57,25,3,Mixed,2,Not applicable,69,30,4,0,0,0,0,Good
135562,313,1,669,339,330,3,Mixed,2,Not applicable,50,49,1,16,41,58,20,Good
135563,925,28,1087,539,548,3,Mixed,2,Not applicable,49,50,3,28,81,18,52,Good
135564,925,28,986,530,456,3,Mixed,2,Not applicable,53,46,2,17,90,9,31,Requires improvement
135565,925,28,1756,853,903,3,Mixed,2,Not applicable,48,51,1,7,81,18,15,Good
135567,895,1,321,164,157,3,Mixed,2,Not applicable,51,48,4,11,97,2,23,Good
135568,873,1,395,206,189,3,Mixed,2,Not applicable,52,47,6,6,62,37,33,Good
135569,331,7,160,113,47,3,Mixed,2,Not applicable,70,29,99,0,61,38,42,Outstanding
135573,892,7,161,92,69,3,Mixed,2,Not applicable,57,42,95,5,63,36,60,Outstanding
135575,801,28,1176,586,590,3,Mixed,1,Church of England,49,50,4,11,78,21,22,Good
135576,887,10,15,12,3,3,Mixed,2,Not applicable,80,20,100,0,0,0,0,Good
135580,889,28,1106,601,505,3,Mixed,2,Not applicable,54,45,1,10,88,10,32,Requires improvement
135582,894,28,1106,539,567,3,Mixed,2,Not applicable,48,51,2,15,92,7,41,Requires improvement
135583,891,28,1036,503,533,3,Mixed,1,Church of England,48,51,2,8,93,6,29,Requires improvement
135584,210,28,1334,709,625,3,Mixed,2,Not applicable,53,46,2,19,60,39,61,Good
135585,881,1,417,200,217,3,Mixed,2,Not applicable,48,52,2,10,71,28,19,Good
135587,206,28,897,477,420,3,Mixed,2,Not applicable,53,46,4,14,61,38,58,Outstanding
135588,311,1,579,311,268,3,Mixed,2,Not applicable,53,46,0,8,87,12,10,Good
135596,919,11,61,31,30,3,Mixed,2,Not applicable,50,49,0,3,0,0,0,Requires improvement
135597,801,28,1303,621,682,3,Mixed,2,Not applicable,47,52,3,18,90,9,65,Requires improvement
135600,304,28,1640,817,823,3,Mixed,2,Not applicable,49,50,2,6,52,46,31,Outstanding
135604,825,10,7,5,2,3,Mixed,2,Not applicable,71,28,100,0,0,0,0,Good
