unique_reference_number,authority_code,establishment_type_code,pupil_number,pupil_boys,pupil_girls,gender_type,gender_category,religious_type,religious_classification,percent_pupil_boys,percent_pupil_girls,percent_ehc_plan,percent_sen_support,percent_english_language,percent_not_english_language,percent_free_school_meals,rating
100298,204,11,233,233,0,1,Boys,2,Not applicable,100,0,6,19,0,0,0,Inadequate
100299,204,11,154,154,0,1,Boys,2,Not applicable,100,0,3,16,0,0,0,Inadequate
100300,204,11,172,0,172,2,Girls,2,Not applicable,0,100,0,0,0,0,0,Good
100303,211,11,166,76,90,3,Mixed,2,Not applicable,45,54,2,14,0,0,0,Inadequate
100307,204,7,139,102,37,3,Mixed,2,Not applicable,73,26,100,0,92,7,65,Outstanding
100311,204,7,182,150,32,3,Mixed,2,Not applicable,82,17,98,1,55,44,65,Outstanding
100312,204,7,156,106,50,3,Mixed,2,Not applicable,67,32,100,0,46,53,64,Good
100315,205,15,128,66,62,3,Mixed,2,Not applicable,51,48,1,25,63,36,0,Outstanding
100316,205,15,86,37,49,3,Mixed,2,Not applicable,43,57,3,15,57,43,0,Outstanding
100317,205,15,52,22,30,3,Mixed,2,Not applicable,42,57,0,13,19,80,0,Outstanding
100318,205,15,67,40,27,3,Mixed,2,Not applicable,59,40,0,25,43,56,0,Outstanding
100321,205,1,252,128,124,3,Mixed,2,Not applicable,50,49,1,6,36,63,41,Good
100322,205,1,195,108,87,3,Mixed,2,Not applicable,55,44,5,12,43,56,42,Outstanding
100324,205,1,366,197,169,3,Mixed,2,Not applicable,53,46,3,10,47,52,43,Good
100326,205,1,217,99,118,3,Mixed,2,Not applicable,45,54,11,15,55,44,48,Outstanding
100328,205,1,186,94,92,3,Mixed,2,Not applicable,50,49,2,17,32,67,50,Good
100331,205,1,186,100,86,3,Mixed,2,Not applicable,53,46,2,12,48,50,40,Good
100334,205,1,172,96,76,3,Mixed,2,Not applicable,55,44,5,9,34,65,48,Good
100335,205,1,237,116,121,3,Mixed,2,Not applicable,48,51,5,22,57,42,43,Good
100338,205,1,243,122,121,3,Mixed,2,Not applicable,50,49,2,18,63,36,58,Good
100340,205,1,363,168,195,3,Mixed,2,Not applicable,46,53,3,12,34,65,26,Good
100341,205,1,340,166,174,3,Mixed,2,Not applicable,48,51,3,35,35,64,58,Good
100344,205,2,200,93,107,3,Mixed,1,Church of England,46,53,1,15,62,38,10,Good
100345,205,2,596,291,305,3,Mixed,4,Roman Catholic,48,51,4,8,51,48,14,Good
100346,205,2,207,97,110,3,Mixed,2,Not applicable,46,53,2,11,69,30,15,Good
100349,205,2,352,161,191,3,Mixed,1,Church of England,45,54,3,11,85,14,25,Good
100350,205,2,164,85,79,3,Mixed,4,Roman Catholic,51,48,7,9,61,39,54,Good
100351,205,2,192,100,92,3,Mixed,1,Church of England,52,47,5,29,56,43,35,Outstanding
100352,205,2,205,90,115,3,Mixed,1,Church of England,43,56,3,11,69,30,12,Outstanding
100353,205,2,439,200,239,3,Mixed,1,Church of England,45,54,2,7,60,39,13,Outstanding
100354,205,2,221,91,130,3,Mixed,4,Roman Catholic,41,58,2,10,48,51,15,Outstanding
100357,205,2,139,67,72,3,Mixed,4,Roman Catholic,48,51,3,13,61,38,40,Good
100371,205,11,252,121,131,3,Mixed,2,Not applicable,48,52,0,9,0,0,0,Outstanding
100372,205,11,83,45,38,3,Mixed,3,Other religion,54,45,0,4,0,0,0,Good
100375,205,11,119,71,48,3,Mixed,2,Not applicable,59,40,0,4,0,0,0,Outstanding
100379,205,7,113,67,46,3,Mixed,2,Not applicable,59,40,100,0,83,16,60,Outstanding
100381,205,7,70,40,30,3,Mixed,2,Not applicable,57,42,100,0,40,60,63,Outstanding
100382,205,7,138,116,22,3,Mixed,2,Not applicable,84,15,100,0,77,22,79,Good
100384,206,15,89,48,41,3,Mixed,2,Not applicable,53,46,0,23,44,55,0,Good
100385,206,15,93,43,50,3,Mixed,2,Not applicable,46,53,0,16,62,37,0,Outstanding
100386,206,15,110,52,58,3,Mixed,2,Not applicable,47,52,0,0,74,24,0,Good
100397,206,1,505,239,266,3,Mixed,2,Not applicable,47,52,3,13,60,39,31,Outstanding
100402,206,1,282,158,124,3,Mixed,2,Not applicable,56,44,4,8,66,33,28,Good
100403,206,1,389,196,193,3,Mixed,2,Not applicable,50,49,4,11,31,68,64,Good
100405,206,1,225,107,118,3,Mixed,2,Not applicable,47,52,3,16,61,38,18,Outstanding
100406,206,1,421,211,210,3,Mixed,2,Not applicable,50,49,3,38,46,53,42,Good
100407,206,1,302,166,136,3,Mixed,2,Not applicable,55,45,1,13,70,29,40,Good
100408,206,1,369,174,195,3,Mixed,2,Not applicable,47,52,3,16,67,32,58,Good
100411,206,1,321,165,156,3,Mixed,2,Not applicable,51,48,21,22,65,34,54,Good
100415,206,1,428,214,214,3,Mixed,2,Not applicable,50,50,4,20,50,49,55,Good
100418,206,1,331,158,173,3,Mixed,2,Not applicable,47,52,2,15,33,66,59,Good
100422,206,1,231,129,102,3,Mixed,2,Not applicable,55,44,6,24,54,45,47,Good
100425,206,1,457,207,250,3,Mixed,2,Not applicable,45,54,4,13,66,33,44,Good
100426,206,1,151,83,68,3,Mixed,2,Not applicable,55,45,3,11,62,37,56,Good
100428,206,1,234,116,118,3,Mixed,2,Not applicable,49,50,2,16,41,58,63,Good
100429,206,1,453,230,223,3,Mixed,2,Not applicable,50,49,2,10,77,22,15,Outstanding
100430,206,1,435,238,197,3,Mixed,2,Not applicable,54,45,4,10,76,23,44,Good
100431,206,1,250,131,119,3,Mixed,2,Not applicable,52,47,4,22,46,53,50,Requires improvement
100432,206,1,403,219,184,3,Mixed,2,Not applicable,54,45,6,9,69,30,41,Good
100434,206,1,324,187,137,3,Mixed,2,Not applicable,57,42,6,17,77,22,50,Good
100437,206,2,440,245,195,3,Mixed,4,Roman Catholic,55,44,3,9,49,50,50,Good
100438,206,2,250,124,126,3,Mixed,4,Roman Catholic,49,50,5,27,47,52,64,Good
100439,206,2,219,114,105,3,Mixed,1,Church of England,52,47,3,21,67,32,51,Good
100440,206,2,196,104,92,3,Mixed,1,Church of England,53,46,3,19,76,23,32,Good
100441,206,2,417,220,197,3,Mixed,4,Roman Catholic,52,47,1,7,71,28,31,Outstanding
100442,206,2,132,72,60,3,Mixed,1,Church of England,54,45,9,10,81,17,47,Good
100443,206,2,227,108,119,3,Mixed,1,Church of England,47,52,4,15,57,42,49,Good
100444,206,2,224,106,118,3,Mixed,1,Church of England,47,52,7,33,71,28,55,Good
100446,206,2,156,72,84,3,Mixed,1,Church of England,46,53,0,16,62,37,64,Good
100447,206,2,213,100,113,3,Mixed,4,Roman Catholic,46,53,2,19,60,39,55,Good
100448,206,2,181,96,85,3,Mixed,1,Church of England,53,47,3,16,70,29,54,Good
100449,206,2,424,206,218,3,Mixed,4,Roman Catholic,48,51,4,15,55,44,27,Good
100450,206,2,251,129,122,3,Mixed,4,Roman Catholic,51,48,3,20,53,46,61,Good
100453,206,1,381,213,168,3,Mixed,2,Not applicable,55,44,8,17,67,32,74,Good
100455,206,1,767,0,767,2,Girls,2,Not applicable,0,100,1,16,44,55,53,Outstanding
100457,206,1,884,0,884,2,Girls,2,Not applicable,0,100,3,17,42,57,56,Outstanding
100458,206,2,1106,1051,55,1,Boys,2,Not applicable,95,5,3,18,71,28,46,Outstanding
100459,206,2,515,515,0,1,Boys,4,Roman Catholic,100,0,3,9,33,66,49,Good
100467,206,7,84,46,38,3,Mixed,2,Not applicable,54,45,100,0,50,50,51,Outstanding
100469,206,7,139,91,48,3,Mixed,2,Not applicable,65,34,99,0,72,27,73,Outstanding
100472,207,15,43,18,25,3,Mixed,2,Not applicable,41,58,4,34,69,30,0,Outstanding
100473,207,15,47,20,27,3,Mixed,2,Not applicable,42,57,0,42,34,66,0,Outstanding
100474,207,15,66,31,35,3,Mixed,2,Not applicable,47,53,3,22,36,63,0,Outstanding
100477,207,1,181,94,87,3,Mixed,2,Not applicable,51,48,5,16,23,76,61,Outstanding
100478,207,1,356,202,154,3,Mixed,2,Not applicable,56,43,7,20,67,32,56,Good
100479,207,1,324,171,153,3,Mixed,2,Not applicable,52,47,4,9,40,59,35,Outstanding
100480,207,1,431,220,211,3,Mixed,2,Not applicable,51,49,3,10,39,60,12,Good
100481,207,1,464,246,218,3,Mixed,2,Not applicable,53,47,1,12,40,59,27,Outstanding
100482,207,1,417,205,212,3,Mixed,2,Not applicable,49,50,6,15,19,80,10,Outstanding
100483,207,1,408,212,196,3,Mixed,2,Not applicable,52,48,6,9,50,49,35,Good
100485,207,1,249,123,126,3,Mixed,2,Not applicable,49,50,6,8,61,37,55,Good
100486,207,1,180,93,87,3,Mixed,2,Not applicable,51,48,3,6,51,48,46,Good
100487,207,1,321,175,146,3,Mixed,2,Not applicable,54,45,4,26,31,68,53,Good
100488,207,1,236,120,116,3,Mixed,2,Not applicable,50,49,4,15,51,48,38,Outstanding
100489,207,2,203,96,107,3,Mixed,1,Church of England,47,52,7,12,78,21,15,Outstanding
100490,207,2,188,88,100,3,Mixed,1,Church of England,46,53,8,14,79,20,34,Good
100491,207,2,211,120,91,3,Mixed,4,Roman Catholic,56,43,2,12,59,40,8,Outstanding
100492,207,2,201,93,108,3,Mixed,1,Church of England,46,53,7,14,39,59,50,Outstanding
100493,207,2,183,101,82,3,Mixed,1,Church of England,55,44,3,9,60,39,19,Requires improvement
100494,207,2,183,89,94,3,Mixed,4,Roman Catholic,48,51,2,15,78,21,49,Good
100495,207,2,159,83,76,3,Mixed,1,Church of England,52,47,4,17,39,61,44,Good
100497,207,2,175,84,91,3,Mixed,1,Church of England,48,52,2,8,37,61,14,Good
100498,207,2,156,88,68,3,Mixed,1,Church of England,56,43,1,14,19,80,36,Good
100499,207,2,213,107,106,3,Mixed,4,Roman Catholic,50,49,5,13,53,46,53,Good
100500,207,2,210,106,104,3,Mixed,4,Roman Catholic,50,49,6,10,66,32,25,Outstanding
100502,207,2,637,382,255,3,Mixed,4,Roman Catholic,60,40,3,10,41,58,34,Good
100503,207,2,797,430,367,3,Mixed,4,Roman Catholic,54,46,6,17,43,56,42,Outstanding
100504,207,2,181,83,98,3,Mixed,4,Roman Catholic,45,54,2,7,30,69,9,Good
100505,207,2,235,119,116,3,Mixed,4,Roman Catholic,50,49,4,12,62,37,48,Good
100516,207,11,74,74,0,1,Boys,4,Roman Catholic,100,0,0,10,0,0,0,Good
100518,207,11,482,307,175,3,Mixed,2,Not applicable,63,36,0,15,0,0,0,Good
100537,207,11,250,135,115,3,Mixed,2,Not applicable,54,46,0,34,0,0,0,Outstanding
100547,207,11,3440,1712,1728,3,Mixed,2,Not applicable,49,50,0,0,0,0,0,Inadequate
100550,208,15,77,42,35,3,Mixed,2,Not applicable,54,45,5,33,57,42,0,Outstanding
100551,208,15,90,56,34,3,Mixed,2,Not applicable,62,37,1,14,60,40,0,Good
100552,208,15,91,38,53,3,Mixed,2,Not applicable,41,58,1,8,51,48,0,Outstanding
100553,208,15,103,50,53,3,Mixed,2,Not applicable,48,51,0,24,39,60,0,Outstanding
100554,208,15,115,51,64,3,Mixed,2,Not applicable,44,55,1,20,50,48,0,Outstanding
